venueid name lat longt rating address
1 venue1 100 200 9.2 somewhere1
2 venue2 100 200 8.2 somewhere2
3 venue3 100 200 1.6 somewhere3
4 venue4 100 200 8.2 somewhere4
5 venue5 100 200 1.1 somewhere5
6 venue6 100 200 0.7 somewhere6
7 venue7 100 200 3.8 somewhere7
8 venue8 100 200 5.6 somewhere8
9 venue9 100 200 8.1 somewhere9
10 venue10 100 200 6.7 somewhere10
11 venue11 100 200 9.0 somewhere11
12 venue12 100 200 5.0 somewhere12
13 venue13 100 200 7.6 somewhere13
14 venue14 100 200 4.1 somewhere14
15 venue15 100 200 6.2 somewhere15
16 venue16 100 200 8.9 somewhere16
17 venue17 100 200 2.7 somewhere17
18 venue18 100 200 6.0 somewhere18
19 venue19 100 200 6.6 somewhere19
20 venue20 100 200 2.2 somewhere20
21 venue21 100 200 1.0 somewhere21
22 venue22 100 200 6.7 somewhere22
23 venue23 100 200 3.5 somewhere23
24 venue24 100 200 6.6 somewhere24
25 venue25 100 200 9.5 somewhere25
26 venue26 100 200 1.0 somewhere26
27 venue27 100 200 1.8 somewhere27
28 venue28 100 200 9.5 somewhere28
29 venue29 100 200 6.9 somewhere29
30 venue30 100 200 2.9 somewhere30
31 venue31 100 200 2.2 somewhere31
32 venue32 100 200 9.7 somewhere32
33 venue33 100 200 7.0 somewhere33
34 venue34 100 200 5.0 somewhere34
35 venue35 100 200 2.3 somewhere35
36 venue36 100 200 3.3 somewhere36
37 venue37 100 200 5.2 somewhere37
38 venue38 100 200 4.4 somewhere38
39 venue39 100 200 2.7 somewhere39
40 venue40 100 200 6.3 somewhere40
41 venue41 100 200 2.3 somewhere41
42 venue42 100 200 1.4 somewhere42
43 venue43 100 200 0.6 somewhere43
44 venue44 100 200 3.8 somewhere44
45 venue45 100 200 6.2 somewhere45
46 venue46 100 200 10.0 somewhere46
47 venue47 100 200 3.2 somewhere47
48 venue48 100 200 1.8 somewhere48
49 venue49 100 200 6.1 somewhere49
50 venue50 100 200 5.9 somewhere50
51 venue51 100 200 2.9 somewhere51
52 venue52 100 200 1.3 somewhere52
53 venue53 100 200 0.7 somewhere53
54 venue54 100 200 6.1 somewhere54
55 venue55 100 200 9.6 somewhere55
56 venue56 100 200 1.1 somewhere56
57 venue57 100 200 6.6 somewhere57
58 venue58 100 200 1.3 somewhere58
59 venue59 100 200 7.1 somewhere59
60 venue60 100 200 8.0 somewhere60
61 venue61 100 200 7.0 somewhere61
62 venue62 100 200 4.1 somewhere62
63 venue63 100 200 1.2 somewhere63
64 venue64 100 200 2.9 somewhere64
65 venue65 100 200 6.0 somewhere65
66 venue66 100 200 2.4 somewhere66
67 venue67 100 200 4.3 somewhere67
68 venue68 100 200 6.3 somewhere68
69 venue69 100 200 8.4 somewhere69
70 venue70 100 200 0.6 somewhere70
71 venue71 100 200 8.1 somewhere71
72 venue72 100 200 3.9 somewhere72
73 venue73 100 200 8.4 somewhere73
74 venue74 100 200 6.2 somewhere74
75 venue75 100 200 8.9 somewhere75
76 venue76 100 200 7.2 somewhere76
77 venue77 100 200 3.9 somewhere77
78 venue78 100 200 1.9 somewhere78
79 venue79 100 200 5.8 somewhere79
80 venue80 100 200 7.1 somewhere80
81 venue81 100 200 7.7 somewhere81
82 venue82 100 200 2.2 somewhere82
83 venue83 100 200 3.1 somewhere83
84 venue84 100 200 8.1 somewhere84
85 venue85 100 200 3.2 somewhere85
86 venue86 100 200 1.1 somewhere86
87 venue87 100 200 2.2 somewhere87
88 venue88 100 200 2.8 somewhere88
89 venue89 100 200 6.0 somewhere89
90 venue90 100 200 5.1 somewhere90
91 venue91 100 200 5.7 somewhere91
92 venue92 100 200 8.8 somewhere92
93 venue93 100 200 9.9 somewhere93
94 venue94 100 200 6.0 somewhere94
95 venue95 100 200 1.1 somewhere95
96 venue96 100 200 8.1 somewhere96
97 venue97 100 200 3.7 somewhere97
98 venue98 100 200 7.0 somewhere98
99 venue99 100 200 3.5 somewhere99
