user1 user2
040914 5315693
040914 862021
862021 64173268
862021 62326951
862021 1619051
862021 51281361
862021 42976468
862021 161567
862021 31385139
862021 26503852
862021 4571136
862021 20372423
161567 40551206
161567 17164547
161567 82732812
161567 9051337
161567 3239
161567 12051090
161567 337516
161567 10634353
161567 55294163
161567 54583644
54583644 26090193
54583644 9548371
54583644 27255263
54583644 124990
54583644 3046998
54583644 39907188
54583644 58935649
54583644 23364089
54583644 28847748
54583644 18923219
337516 9586041
337516 8065609
337516 15516973
337516 73425771
337516 161567
337516 25850809
337516 2018789
337516 40355454
337516 25908
337516 58481018
2018789 71321389
2018789 11688
2018789 469326
2018789 62804925
2018789 337516
2018789 63570618
2018789 2246994
2018789 140844
2018789 49530636
2018789 36003530
26503852 25636039
26503852 862021
26503852 3780395
26503852 7031905
12051090 75649147
12051090 73620036
12051090 161567
12051090 19988183
12051090 33579142
12051090 45898906
12051090 9456525
12051090 48974502
12051090 20138900
12051090 48379
48379 20491850
48379 80544177
48379 70283232
48379 14324630
48379 1796391
48379 886466
48379 72560053
48379 63295772
48379 12051090
48379 52463041
70283232 16113560
70283232 72469508
70283232 81372802
70283232 74286102
70283232 81358987
70283232 80429764
70283232 78707603
70283232 76370143
70283232 46814123
70283232 48379
80429764 85006077
80429764 21164849
80429764 54545804
80429764 5242656
80429764 41175956
80429764 69149900
80429764 70283232
80429764 70283048
80429764 84618036
80429764 11734177
5242656 80817875
5242656 80429764
5242656 5886351
5242656 5275087
5242656 16574090
5242656 8189894
5242656 7846396
5242656 2566568
5242656 7348325
5242656 11313403
16574090 12010498
16574090 5193833
16574090 2377265
16574090 12360316
16574090 10406640
16574090 5242656
15516973 58347490
15516973 47263054
15516973 38080
15516973 32974716
15516973 337516
15516973 33282709
15516973 54032259
15516973 29811458
15516973 53115393
15516973 16097905
7031905 4119974
7031905 78834034
7031905 62969585
7031905 76267155
7031905 74072301
7031905 71393251
7031905 69758483
7031905 1263714
7031905 59232710
7031905 18963664
63570618 14535540
63570618 6831789
63570618 54363353
63570618 8253017
63570618 12490988
63570618 67746832
63570618 321672
63570618 110109
63570618 54674621
63570618 30957758
20372423 55143911
20372423 28895187
20372423 10858420
20372423 862021
20372423 4316900
20372423 9152409
9152409 55143911
9152409 8547983
9152409 188447
9152409 11199007
9152409 7873613
9152409 28895187
9152409 17720464
9152409 18780379
9152409 29446234
9152409 20372423
1796391 11842827
1796391 81686759
1796391 80241785
1796391 1005266
1796391 77997707
1796391 78290527
1796391 74569291
1796391 12264359
1796391 6668551
1796391 48379
3046998 7924927
3046998 3202429
3046998 11526280
3046998 49321
3046998 18953686
3046998 53603972
3046998 27161
3046998 8122677
3046998 54583644
3046998 14102794
47263054 15516973
47263054 1203707
47263054 523845
47263054 471443
47263054 26028873
47263054 44614329
47263054 63487879
47263054 23166
47263054 54005070
47263054 786184
72560053 64669156
72560053 24206152
72560053 14099283
72560053 1026539
72560053 24757776
72560053 67974132
72560053 22421626
72560053 496631
72560053 30280
72560053 3814540
188447 26257785
188447 9152409
188447 76392
188447 245092
188447 648733
188447 3032515
188447 24780
188447 1990700
188447 2564351
188447 1801996
51281361 1727113
51281361 32122636
51281361 73766516
51281361 224949
51281361 15435080
51281361 3720364
51281361 65783809
51281361 64136975
51281361 23275728
51281361 22009325
85006077 16055875
85006077 58891770
85006077 10519849
85006077 21778685
85006077 13224579
85006077 48231449
85006077 10547821
85006077 83718195
85006077 59662996
85006077 84568207
42976468 84168985
42976468 29129211
42976468 79331701
42976468 15189840
42976468 12154528
42976468 77766818
42976468 1610463
42976468 41209947
42976468 6737401
42976468 495124
58481018 82487631
58481018 82738041
58481018 1684225
58481018 601
58481018 80058414
58481018 3877184
58481018 24075187
58481018 29535130
58481018 337516
58481018 50932151
24780 202569
24780 286995
24780 398295
24780 103712
24780 21025086
24780 20670774
24780 20286981
24780 1372003
24780 336425
24780 24299391
5193833 30813379
5193833 30597672
5193833 4620733
5193833 26106385
5193833 16574090
5193833 14021128
5193833 11588634
5193833 10609745
5193833 10409103
5193833 30991830
79331701 5200108
79331701 3921563
79331701 1036717
79331701 4474932
79331701 1644204
79331701 4310935
79331701 7273401
79331701 1456963
79331701 661513
79331701 8106149
24206152 11508885
24206152 53684
24206152 72560053
24206152 4323624
24206152 74605556
24206152 360004
24206152 39620237
24206152 38613
24206152 50295775
24206152 151633
16097905 15516973
16097905 7977643
16097905 7004262
16097905 53119209
16097905 2196
16097905 54947
16097905 4176294
16097905 4257164
16097905 71238
16097905 11856075
82487631 70546455
82487631 58481018
82487631 991955
30813379 44215075
30813379 3502551
30813379 4085387
30813379 34873093
30813379 38048680
30813379 16690676
30813379 31917718
30813379 10092388
30813379 28408770
30813379 18094167
7977643 80925519
7977643 16097905
7977643 20648727
7977643 55165199
7977643 44756406
7977643 44229767
7977643 42505402
7977643 4409581
7977643 54947
7977643 1642314
71238 80544960
71238 8914
71238 24992583
71238 117338
71238 6390364
71238 7594189
71238 322994
71238 48344609
71238 22991009
71238 27055821
71321389 411847
71321389 561317
71321389 680604
71321389 35273
71321389 26716
71321389 2018789
71321389 363660
71321389 564650
71321389 26765
71321389 48472512
12010498 36157429
12010498 29612430
12010498 27378002
12010498 14509141
12010498 9095101
12010498 28087270
12010498 26787659
12010498 25692869
12010498 2533361
12010498 19925654
7924927 1836964
7924927 13163098
7924927 11097513
7924927 456991
7924927 3046998
7924927 2966030
7924927 245591
7924927 1001216
7924927 46688752
7924927 18431634
21778685 85006077
21778685 82362733
21778685 81601613
21778685 75573742
21778685 13737506
21778685 45032788
21778685 68158118
21778685 24874484
21778685 31855723
21778685 14183912
24299391 2556903
24299391 24780
24299391 29057875
24299391 10738895
24299391 13807983
24299391 1487199
24299391 19967647
24299391 9662747
24299391 6567643
24299391 3886217
12154528 84670267
12154528 84600425
12154528 8130711
12154528 42976468
12154528 1432285
12154528 2126901
12154528 467789
12154528 7018499
12154528 1511589
12154528 70468306
29129211 10524577
29129211 84600425
29129211 1017853
29129211 1014741
29129211 84412073
29129211 42226785
29129211 83615913
29129211 945465
29129211 57642298
29129211 82652895
38613 7979076
38613 276531
38613 50297064
38613 24206152
38613 19989624
38613 21972214
38613 15818
38613 21092529
38613 29555774
38613 21450932
411847 3361409
411847 668753
411847 10232260
411847 56945997
411847 625969
411847 4143608
411847 48415583
411847 48469956
411847 33412561
411847 71321389
