venueid name lat longt rating address
4ef356e2c512c31f1bc1ea62 Top_Of_Stratton_Mountain 43.1057412908 -72.9083735397 0 Stratton
4161e400f964a520671d1fe3 Guaymas_Restaurant 37.8732774214 -122.45590971 6.22 5_Main_St
4e5d31022271162c8fca7387 Temescal_Alley_Barbershop 37.8360728176 -122.261808515 8.06 470_49th_St_Ste_B
4f5ab21ce4b07bddeda204a7 Doughnut_Dolly 37.8360437654 -122.262051642 8.47 482_49th_St,_Ste_B
41059b00f964a520850b1fe3 San_Francisco_International_Airport_(SFO) 37.6164240527 -122.386279106 9.24 N_McDonnell_Rd
4b77133bf964a520b97a2ee3 Shell 39.321764 -120.208492 5.87 10278_Highway_89
4b2d0043f964a5201fcc24e3 Bucket_Manor 39.057464 -120.128987 0 7290_5th_Ave
4b005092f964a520b53c22e3 NJT_-_Trenton_Transit_Center_(NEC) 40.2189621428 -74.7544312477 7.39 72_S_Clinton_Ave
4388f700f964a5201d2b1fe3 Cigar_Bar_&_Grill 37.7970938109 -122.403490841 8.89 850_Montgomery_St
4afb465ff964a5208a1c22e3 Embarcadero_MUNI_Metro_Station 37.7931261046 -122.396482229 5.62 298_Market_St.
4fbebf76e4b0d6b3519c558c Oakland_Estuary 37.7952506744 -122.26716385 0 address
4c0bd62dbbc676b00b184cd5 The_Aviary 41.8866558608 -87.651951313 9.34 955_W_Fulton_Market
40b28c80f964a520c3fb1ee3 Pump_Room 41.9059393457 -87.6285556784 9.28 1301_N_State_Pkwy
4c007d829cf52d7f0eec13e7 Ruxbin_Kitchen 41.8975446426 -87.6672565175 9.03 851_N_Ashland_Ave
41059b00f964a520850b1fe3 San_Francisco_International_Airport_(SFO) 37.6164240527 -122.386279106 9.24 N_McDonnell_Rd
51853a35498e72528af59d83 WatchDox 37.427328 -122.143794 0 299_S_California_Ave
51853a35498e72528af59d83 WatchDox 37.427328 -122.143794 0 299_S_California_Ave
4c416857520fa59326a3c9ac Vakantieboerderij_it_flinkeboskje 52.8870517015 5.4753952 0 Flinkeboskje_1
4e7ef25fcc21959d5e77e33b Strand_Noordwijk_aan_Zee 52.2488106309 4.43328380585 7.05 Koningin_Wilhelmina_Boulevard
4ef356e2c512c31f1bc1ea62 Top_Of_Stratton_Mountain 43.1057412908 -72.9083735397 0 Stratton
44db29bef964a52092361fe3 The_Farm_on_Adderley 40.6397627938 -73.9675554028 9.37 1108_Cortelyou_Rd
535bfbb3498ebb3fe2a20097 SmartLine_HQ 40.8409347534 -73.68359375 0 address
4e0c73d31838fa426ac808f7 West_Pickle_Research_Center 30.3952946211 -97.7352120248 0 3925_Braker_Lane
4e0c73d31838fa426ac808f7 West_Pickle_Research_Center 30.3952946211 -97.7352120248 0 3925_Braker_Lane
4df53a0845dd4e269346a9de Rio_Grande_Valley 26.207737867 -98.1814572842 0 address
4ce80cfe9f776ea867b05b22 Hunt,_Tx 30.0704429646 -99.3378813452 0 address
4a3d9649f964a5207da21fe3 Marin_Brewing_Company 37.947446402 -122.509617805 8.41 1809_Larkspur_Landing_Cir
49c1df70f964a520d9551fe3 Equinox 37.79206 -122.40132 8.57 301_Pine_St
4b12a7a2f964a520ea8b23e3 Calvary_Presbyterian_Church 37.792637 -122.4348 0 2515_Fillmore_St
4fc7c071e4b06e4ecff8e93d SoMa_StrEat_Food_Park 37.7697733954 -122.41183739 9.56 428_11th_St
43e9f2f1f964a520252f1fe3 Max's_at_the_Opera_Cafe 37.7812016799 -122.420581515 8.62 601_Van_Ness_Ave
4b65eb87f964a52065082be3 Marines'_Memorial_Theatre 37.7889308892 -122.4103772 7.42 609_Sutter_St
4a24a1e2f964a5203c7e1fe3 Trader_Vic's 37.8379941138 -122.307998836 8.28 9_Anchor_Dr
43e9f2f1f964a520252f1fe3 Max's_at_the_Opera_Cafe 37.7812016799 -122.420581515 8.62 601_Van_Ness_Ave
43e9f2f1f964a520252f1fe3 Max's_at_the_Opera_Cafe 37.7812016799 -122.420581515 8.62 601_Van_Ness_Ave
5027114a3d7cb6202874669a Albert_&_Janet_Schultz_Cultural_Arts_Hall 37.4221763545 -122.124151474 0 3921_Fabian_Way
50f21340e4b036c5cc0d7c7d SFJazz_Center 37.7763135258 -122.421306011 8.93 201_Franklin_St
43e9f2f1f964a520252f1fe3 Max's_at_the_Opera_Cafe 37.7812016799 -122.420581515 8.62 601_Van_Ness_Ave
